"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Eddie Rosario","CLE","28","113","3","13","19","5","6.2%","17.7%",".144",".268",".240",".286",".385",".292",".316","87","1.3","-0.4","-1.1","0.2","12155"
"Wilson Ramos","DET","28","99","6","10","9","0","5.1%","23.2%",".239",".222",".217",".258",".457",".306",".338","98","-0.4","-0.6","-0.6","0.2","1433"
"Paul Goldschmidt","STL","29","125","4","20","16","1","6.4%","24.8%",".145",".305",".248",".296",".393",".302",".352","92","0.6","-0.6","-1.3","0.2","9218"
"Cesar Hernandez","CLE","28","124","2","15","5","0","13.7%","16.9%",".093",".214",".187",".298",".280",".268",".377","71","0.3","-3.9","1.9","0.2","10556"
"Pavin Smith","ARI","27","106","3","13","10","1","5.7%","17.9%",".190",".282",".250",".292",".440",".316",".354","97","-0.9","-1.3","-0.2","0.2","19892"
"Nick Senzel","CIN","27","90","1","12","5","2","13.3%","13.3%",".078",".277",".247",".344",".325",".304",".374","88","0.1","-1.3","-0.1","0.2","19293"
"Michael Conforto","NYM","25","99","2","9","9","0","14.1%","22.2%",".148",".298",".235",".374",".383",".343",".375","120","-1.1","1.4","-3.1","0.2","16376"
"Jeff McNeil","NYM","25","86","2","10","6","0","11.6%","8.1%",".122",".231",".230",".337",".351",".312",".340","101","-1.2","-1.1","-0.2","0.2","15362"
"Travis Shaw","MIL","28","114","5","9","22","0","9.6%","27.2%",".180",".262",".220",".307",".400",".311",".342","95","-1.6","-2.4","0.2","0.1","11982"
"Victor Robles","WSN","26","90","0","6","1","1","12.2%","24.4%",".053",".315",".224",".344",".276",".292",".303","81","-2.0","-4.2","2.7","0.1","18363"
"Myles Straw","HOU","29","111","0","10","11","5","9.9%","20.7%",".052",".289",".227",".306",".278",".267",".308","77","1.4","-1.7","-0.6","0.1","17620"
"Didi Gregorius","PHI","26","102","4","8","22","1","3.9%","18.6%",".161",".274",".258",".294",".419",".303",".252","90","-0.3","-1.6","-0.2","0.1","6012"
"Trey Mancini","BAL","31","130","6","14","25","0","6.9%","21.5%",".193",".279",".252",".308",".445",".326",".384","114","-1.3","0.7","-3.7","0.1","15149"
"Hunter Dozier","KCR","25","94","5","10","14","1","7.4%","28.7%",".264",".200",".184",".245",".448",".296",".356","90","-1.2","-2.2","0.3","0.1","15117"
"David Fletcher","LAA","29","133","0","17","10","1","3.8%","10.5%",".024",".295",".264",".290",".288",".258",".263","67","0.3","-4.7","1.5","0.1","17992"
"Nicky Lopez","KCR","29","97","0","14","7","2","13.4%","14.4%",".076",".258",".215",".323",".291",".281",".269","81","1.5","-0.7","-1.4","0.1","19339"
"Jurickson Profar","SDP","31","118","1","14","10","5","14.4%","16.9%",".082",".295",".247",".353",".330",".307",".320","95","1.0","0.3","-3.0","0.1","10815"
"Josh Naylor","CLE","26","98","2","10","8","1","4.1%","20.4%",".163",".329",".272",".309",".435",".319",".320","106","-0.4","0.3","-2.5","0.1","18839"
"Freddie Freeman","ATL","30","131","7","16","18","1","16.0%","16.8%",".220",".188",".202",".336",".422",".322",".399","101","-0.1","0.0","-3.3","0.1","5361"
"Aaron Hicks","NYY","27","110","4","11","11","0","10.0%","23.6%",".156",".194",".177",".273",".333",".272",".331","76","-0.3","-3.3","0.3","0.1","5297"
"Jorge Polanco","MIN","27","113","1","13","12","2","7.1%","19.5%",".099",".250",".208",".274",".307",".259",".331","67","1.3","-3.1","-0.1","0.1","13152"
"Jackie Bradley Jr.","MIL","29","112","3","13","6","1","2.7%","30.4%",".155",".242",".184",".250",".340",".261",".267","63","-0.4","-5.6","2.4","0.0","12984"
"Marwin Gonzalez","BOS","25","98","1","11","8","2","10.2%","18.4%",".084",".246",".205",".316",".289",".281",".315","78","0.1","-2.4","-0.5","0.0","5497"
"Dansby Swanson","ATL","30","122","2","7","7","1","6.6%","29.5%",".117",".288",".207",".279",".324",".267",".329","65","-0.5","-5.8","2.2","0.0","18314"
"Justin Upton","LAA","25","101","5","11","12","1","8.9%","27.7%",".189",".259",".222",".297",".411",".309",".336","103","0.2","0.5","-3.8","0.0","5222"
"Charlie Blackmon","COL","28","108","2","10","17","0","11.1%","13.9%",".129",".224",".204",".315",".333",".291",".366","69","-0.2","-4.4","1.1","0.0","7859"
"Adam Duvall","MIA","29","102","5","11","18","1","3.9%","35.3%",".206",".250",".196",".235",".402",".275",".294","77","-0.3","-3.2","0.1","0.0","10950"
"Joey Votto","CIN","29","118","5","9","17","0","9.3%","21.2%",".198",".250",".226",".305",".425",".319",".393","98","-0.6","-0.9","-2.9","0.0","4314"
